央视频道,#genre#
重庆卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-chongqingstv
广西卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GXWS
贵州卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_GUIZHOU
海南卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=LYWS
河北卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_HEBEI
河南卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HENAN
吉林卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JILIN
江西卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=JXWS
内蒙古卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NEIMENGGU
宁夏卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NINGXIA
山西卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=SXWS
陕西卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_SHANXI
四川卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=SCWS
西藏卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_XIZANG
新疆卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_XINJIANG
青海卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_QINGHAI
厦门卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_XIAMEN
云南卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_YUNNAN
安多卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_ANDUO
兵团卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_BINGTUAN
东南卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=DNWS
康巴卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_KANGBA
